TERM_NAME,DEFINITION,Text
GDC,Graphics Display Controller,###Human:\nWhat is GDC in Dell context?\n\n###Asistant:\nGraphics Display Controller
GDC  ,Global Development Center ,###Human:\nWhat is GDC   in Dell context?\n\n###Asistant:\nGlobal Development Center 
GDF,Global Deployment and Field Services ,###Human:\nWhat is GDF in Dell context?\n\n###Asistant:\nGlobal Deployment and Field Services 
GDI,Graphical Display Interface,###Human:\nWhat is GDI in Dell context?\n\n###Asistant:\nGraphical Display Interface
GDI,"Go Do It - Quick fix projects that are not Yellow, Green or Black Belt BPI prijects","###Human:\nWhat is GDI in Dell context?\n\n###Asistant:\nGo Do It - Quick fix projects that are not Yellow, Green or Black Belt BPI prijects"
GDL,Global Document List,###Human:\nWhat is GDL in Dell context?\n\n###Asistant:\nGlobal Document List
GDL,"GDL - Abbreviation for Dell office in Guadalajara, Mexico","###Human:\nWhat is GDL in Dell context?\n\n###Asistant:\nGDL - Abbreviation for Dell office in Guadalajara, Mexico"
GDMS,"Global Data Management Services - the org within AIMS (Application and Infrastructure Management System)which focuses on databases and data mangement. Sometimes referred to as GDBMS (Global DataBase Management Systems), but the official HR designation is GDMS 

","###Human:\nWhat is GDMS in Dell context?\n\n###Asistant:\nGlobal Data Management Services - the org within AIMS (Application and Infrastructure Management System)which focuses on databases and data mangement. Sometimes referred to as GDBMS (Global DataBase Management Systems), but the official HR designation is GDMS 

"
GDP,Dell Global Dialing Plan,###Human:\nWhat is GDP in Dell context?\n\n###Asistant:\nDell Global Dialing Plan
GDS,Global Dynamic SKU - Enables the development of a single global and/or regional SKU for each individual unique product/manufacturer part number globally while providing the framework for a global fulfillment solution.,###Human:\nWhat is GDS in Dell context?\n\n###Asistant:\nGlobal Dynamic SKU - Enables the development of a single global and/or regional SKU for each individual unique product/manufacturer part number globally while providing the framework for a global fulfillment solution.
GDS,"Global Development Services

","###Human:\nWhat is GDS in Dell context?\n\n###Asistant:\nGlobal Development Services

"
GDS,"Global Demand Supply
","###Human:\nWhat is GDS in Dell context?\n\n###Asistant:\nGlobal Demand Supply
"
GDSN,Global Data Synchronization Network ,###Human:\nWhat is GDSN in Dell context?\n\n###Asistant:\nGlobal Data Synchronization Network 
GDSP,Global Demand Supply Planning,###Human:\nWhat is GDSP in Dell context?\n\n###Asistant:\nGlobal Demand Supply Planning
GE,Global Environmenet ,###Human:\nWhat is GE in Dell context?\n\n###Asistant:\nGlobal Environmenet 
GE,Gigabit Ethernet,###Human:\nWhat is GE in Dell context?\n\n###Asistant:\nGigabit Ethernet
GEA,Global ECO Authority - GEA is members from ECM team who decide a proper global cut in date for ECO.,###Human:\nWhat is GEA in Dell context?\n\n###Asistant:\nGlobal ECO Authority - GEA is members from ECM team who decide a proper global cut in date for ECO.
GEARS,Global Enterprise Accounts Receivable System,###Human:\nWhat is GEARS in Dell context?\n\n###Asistant:\nGlobal Enterprise Accounts Receivable System
GeBM,Global e-Business Managment ,###Human:\nWhat is GeBM in Dell context?\n\n###Asistant:\nGlobal e-Business Managment 
GECO,Global Export Compliance Organization,###Human:\nWhat is GECO in Dell context?\n\n###Asistant:\nGlobal Export Compliance Organization
GECO,Global Embedded Cost Optimization,###Human:\nWhat is GECO in Dell context?\n\n###Asistant:\nGlobal Embedded Cost Optimization
GEDI,"Global Electronic DOMS Interface - provides new and existing applications in the Dell enterprise with an xml component based interface to access workflow services in DOMS.
","###Human:\nWhat is GEDI in Dell context?\n\n###Asistant:\nGlobal Electronic DOMS Interface - provides new and existing applications in the Dell enterprise with an xml component based interface to access workflow services in DOMS.
"
GEIS ,General Electric Information Services value added network. ,###Human:\nWhat is GEIS  in Dell context?\n\n###Asistant:\nGeneral Electric Information Services value added network. 
GEL,"Gaming, Edutainment and Leisure software","###Human:\nWhat is GEL in Dell context?\n\n###Asistant:\nGaming, Edutainment and Leisure software"
GELU,HR Manager,###Human:\nWhat is GELU in Dell context?\n\n###Asistant:\nHR Manager
GEM,"Global Email Makreting database
","###Human:\nWhat is GEM in Dell context?\n\n###Asistant:\nGlobal Email Makreting database
"
GEM,"Government, Education, and Medical market or sales groups. ","###Human:\nWhat is GEM in Dell context?\n\n###Asistant:\nGovernment, Education, and Medical market or sales groups. "
GEM,Global E&O Marketplace,###Human:\nWhat is GEM in Dell context?\n\n###Asistant:\nGlobal E&O Marketplace
GEMC,Global Executive Management Committee -  Made up of senior Dell executives from across the regions.,###Human:\nWhat is GEMC in Dell context?\n\n###Asistant:\nGlobal Executive Management Committee -  Made up of senior Dell executives from across the regions.
GEMS,Global Experience Management System,###Human:\nWhat is GEMS in Dell context?\n\n###Asistant:\nGlobal Experience Management System
General Ledger receipt,A receipt that is directly applied to a G/L account without being applied to a specific invoice. These are typically non-A/R receipts.,###Human:\nWhat is General Ledger receipt in Dell context?\n\n###Asistant:\nA receipt that is directly applied to a G/L account without being applied to a specific invoice. These are typically non-A/R receipts.
GEO,Common Manufacturing Facility code for all models within an offer,###Human:\nWhat is GEO in Dell context?\n\n###Asistant:\nCommon Manufacturing Facility code for all models within an offer
GEP,Global Enterprise Program - Customer program for Dell's largest global customers. Enterprise and LCA customers who meet dollar and organizational criteria.,###Human:\nWhat is GEP in Dell context?\n\n###Asistant:\nGlobal Enterprise Program - Customer program for Dell's largest global customers. Enterprise and LCA customers who meet dollar and organizational criteria.
GEQ,Global English Queue,###Human:\nWhat is GEQ in Dell context?\n\n###Asistant:\nGlobal English Queue
gerber,"File format used by printed circuit board (PCB) manufacturing machines to lay out electrical connections such as traces, vias, and pads (the component ""footprints"" on the PCB). A Gerber file can also contain information for drilling and milling the circuit board.","###Human:\nWhat is gerber in Dell context?\n\n###Asistant:\nFile format used by printed circuit board (PCB) manufacturing machines to lay out electrical connections such as traces, vias, and pads (the component ""footprints"" on the PCB). A Gerber file can also contain information for drilling and milling the circuit board."
GES,Global Email Services - GES outlines a vision of a global event bases email application platform as an integral part of the global eBusiness application suite (Core 1.0) that is being envisioned by Dell along with the scope of functionality that needs to be addressed by first release of this application.,###Human:\nWhat is GES in Dell context?\n\n###Asistant:\nGlobal Email Services - GES outlines a vision of a global event bases email application platform as an integral part of the global eBusiness application suite (Core 1.0) that is being envisioned by Dell along with the scope of functionality that needs to be addressed by first release of this application.
GESS,"GESS is the new consolidated One List for Global Relationship (GREL), Premier, Solutions, eSupport and Services","###Human:\nWhat is GESS in Dell context?\n\n###Asistant:\nGESS is the new consolidated One List for Global Relationship (GREL), Premier, Solutions, eSupport and Services"
GFCS,"Global Finance and Corporate Systems
","###Human:\nWhat is GFCS in Dell context?\n\n###Asistant:\nGlobal Finance and Corporate Systems
"
GFD,Global Field Delivery,###Human:\nWhat is GFD in Dell context?\n\n###Asistant:\nGlobal Field Delivery
GFEP,Global Finance Executive Program,###Human:\nWhat is GFEP in Dell context?\n\n###Asistant:\nGlobal Finance Executive Program
GFES,Global Factory Engineering Services - Provide stable and reliable computing platforms for Dell Manufacturing in the United States and around The World.,###Human:\nWhat is GFES in Dell context?\n\n###Asistant:\nGlobal Factory Engineering Services - Provide stable and reliable computing platforms for Dell Manufacturing in the United States and around The World.
GFIM,Global Financial Information Management,###Human:\nWhat is GFIM in Dell context?\n\n###Asistant:\nGlobal Financial Information Management
GFS,Global Field Service group,###Human:\nWhat is GFS in Dell context?\n\n###Asistant:\nGlobal Field Service group
GFS,Global Financial Services group,###Human:\nWhat is GFS in Dell context?\n\n###Asistant:\nGlobal Financial Services group
GFS-DFS,"Global Financial Services and Dell Financial Services
","###Human:\nWhat is GFS-DFS in Dell context?\n\n###Asistant:\nGlobal Financial Services and Dell Financial Services
"
GFSG,"Global Finance Systems Group - Master file updates and security for QTC system. - Change management, Process control and Governance","###Human:\nWhat is GFSG in Dell context?\n\n###Asistant:\nGlobal Finance Systems Group - Master file updates and security for QTC system. - Change management, Process control and Governance"
GFTC,Global Finance Technical Council,###Human:\nWhat is GFTC in Dell context?\n\n###Asistant:\nGlobal Finance Technical Council
GFX ,Global Fulfillment Exchange - Software and Peripherals 3rd party distributor order fulfillment system. ,###Human:\nWhat is GFX  in Dell context?\n\n###Asistant:\nGlobal Fulfillment Exchange - Software and Peripherals 3rd party distributor order fulfillment system. 
GGAP,Generally Accepted Accounting Principles,###Human:\nWhat is GGAP in Dell context?\n\n###Asistant:\nGenerally Accepted Accounting Principles
GGCL,Gerber Gate Check List,###Human:\nWhat is GGCL in Dell context?\n\n###Asistant:\nGerber Gate Check List
GHOST ,"General Hardware Oriented Software Transfer - GHOST, a product from Ghostsoft, can clone (copy) the entire contents of a hard disk to another computer's hard disk, automatically formatting and partitioning the target disk.  This product is especially useful where one system is to be replicated on a number of computers.  This software is used by Project Engineers to transfer the customer's image from the original hard drive sent by the customer to another hard drive (the development drive).  This is done to protect the integrity of the original image on the original hard drive and allows the engineering to be done using the development drive. ","###Human:\nWhat is GHOST  in Dell context?\n\n###Asistant:\nGeneral Hardware Oriented Software Transfer - GHOST, a product from Ghostsoft, can clone (copy) the entire contents of a hard disk to another computer's hard disk, automatically formatting and partitioning the target disk.  This product is especially useful where one system is to be replicated on a number of computers.  This software is used by Project Engineers to transfer the customer's image from the original hard drive sent by the customer to another hard drive (the development drive).  This is done to protect the integrity of the original image on the original hard drive and allows the engineering to be done using the development drive. "
GHS,Global Hot Spare,###Human:\nWhat is GHS in Dell context?\n\n###Asistant:\nGlobal Hot Spare
GIA,Global Integration Architect,###Human:\nWhat is GIA in Dell context?\n\n###Asistant:\nGlobal Integration Architect
GIC,Global Insights Center - Dell's market research portal housing custom and syndicated research.  Access is available to Dell's marketing community.,###Human:\nWhat is GIC in Dell context?\n\n###Asistant:\nGlobal Insights Center - Dell's market research portal housing custom and syndicated research.  Access is available to Dell's marketing community.
GICS,Global Infrastructure Consulting Services - See ICS.,###Human:\nWhat is GICS in Dell context?\n\n###Asistant:\nGlobal Infrastructure Consulting Services - See ICS.
GIDS,"Global Infrastructure Delivery Services - the 2008 consolidation of  Americas Infrastructure and Management Services (AIMS) & Global Service Delivery (GSD). ","###Human:\nWhat is GIDS in Dell context?\n\n###Asistant:\nGlobal Infrastructure Delivery Services - the 2008 consolidation of  Americas Infrastructure and Management Services (AIMS) & Global Service Delivery (GSD). "
GIF,Graphic Interchange Format - A file format developed in the mid-1980s by CompuServe for use in photo-quality graphics images. Now commonly used everywhere online. ,###Human:\nWhat is GIF in Dell context?\n\n###Asistant:\nGraphic Interchange Format - A file format developed in the mid-1980s by CompuServe for use in photo-quality graphics images. Now commonly used everywhere online. 
GIG,Global Insights Group,###Human:\nWhat is GIG in Dell context?\n\n###Asistant:\nGlobal Insights Group
Gigabyte ,"A gigabyte (pronounced GIG-a-bite with hard G's) is a measure of computer data storage capacity and is ""roughly"" a billion bytes.  A gigabyte is two to the 30th power, or 1,073,741,824 in decimal notation. ","###Human:\nWhat is Gigabyte  in Dell context?\n\n###Asistant:\nA gigabyte (pronounced GIG-a-bite with hard G's) is a measure of computer data storage capacity and is ""roughly"" a billion bytes.  A gigabyte is two to the 30th power, or 1,073,741,824 in decimal notation. "
GII,"GEDIS version 2 - Front Office Tool used primarily by Dell'sales Representatives and Operations for managing Customer Information, Quotes and Sales Order Processes. Gii (pronounced ""G"") is the enhanced version of GEDIS currently used in APJ and EMEA. ","###Human:\nWhat is GII in Dell context?\n\n###Asistant:\nGEDIS version 2 - Front Office Tool used primarily by Dell'sales Representatives and Operations for managing Customer Information, Quotes and Sales Order Processes. Gii (pronounced ""G"") is the enhanced version of GEDIS currently used in APJ and EMEA. "
GIM,"Global Incident Manager
","###Human:\nWhat is GIM in Dell context?\n\n###Asistant:\nGlobal Incident Manager
"
GIM,Global Item Master,###Human:\nWhat is GIM in Dell context?\n\n###Asistant:\nGlobal Item Master
GINA,Graphical Identification and Authentication,###Human:\nWhat is GINA in Dell context?\n\n###Asistant:\nGraphical Identification and Authentication
GIO,Global Intake Operations,###Human:\nWhat is GIO in Dell context?\n\n###Asistant:\nGlobal Intake Operations
GIP,Global Information Protection ,###Human:\nWhat is GIP in Dell context?\n\n###Asistant:\nGlobal Information Protection 
GIR,Global Information Repository,###Human:\nWhat is GIR in Dell context?\n\n###Asistant:\nGlobal Information Repository
GIRC,Global Incident Routing and Communication,###Human:\nWhat is GIRC in Dell context?\n\n###Asistant:\nGlobal Incident Routing and Communication
GIS,Global Information Solutions,###Human:\nWhat is GIS in Dell context?\n\n###Asistant:\nGlobal Information Solutions
GIS,Global Integration Services,###Human:\nWhat is GIS in Dell context?\n\n###Asistant:\nGlobal Integration Services
GISC,"Global Information Security and Compliance
","###Human:\nWhat is GISC in Dell context?\n\n###Asistant:\nGlobal Information Security and Compliance
"
GISM,Global Intergrated Service Model - application used by PG Quality and Accounting to calculate FIR and provision for future warranty obligations.,###Human:\nWhat is GISM in Dell context?\n\n###Asistant:\nGlobal Intergrated Service Model - application used by PG Quality and Accounting to calculate FIR and provision for future warranty obligations.
GISO,Global Information Security Operations  ,###Human:\nWhat is GISO in Dell context?\n\n###Asistant:\nGlobal Information Security Operations  
GISS,"Global Information Security Services - Mission is to Build a secure global computing environment by creating and delivering a global information security program and building a culture where security is everyone's responsibility.","###Human:\nWhat is GISS in Dell context?\n\n###Asistant:\nGlobal Information Security Services - Mission is to Build a secure global computing environment by creating and delivering a global information security program and building a culture where security is everyone's responsibility."
GISS  ,Global Information Security Services ,###Human:\nWhat is GISS   in Dell context?\n\n###Asistant:\nGlobal Information Security Services 
GITTT,Global IT Technical Training,###Human:\nWhat is GITTT in Dell context?\n\n###Asistant:\nGlobal IT Technical Training
GKB,Good knowledge base - used as tag to close Trouble Tickets which had useful information at wisdom.,###Human:\nWhat is GKB in Dell context?\n\n###Asistant:\nGood knowledge base - used as tag to close Trouble Tickets which had useful information at wisdom.
GL,Globalization,###Human:\nWhat is GL in Dell context?\n\n###Asistant:\nGlobalization
GL,"General Ledger
","###Human:\nWhat is GL in Dell context?\n\n###Asistant:\nGeneral Ledger
"
GLB,"Global Lease Broker - Lease/CDC Deal Tracking Tool","###Human:\nWhat is GLB in Dell context?\n\n###Asistant:\nGlobal Lease Broker - Lease/CDC Deal Tracking Tool"
GLB,Global Large Business - market segment for very large business which are global enterprises,###Human:\nWhat is GLB in Dell context?\n\n###Asistant:\nGlobal Large Business - market segment for very large business which are global enterprises
GLB,"Grahamm-Leach-Bliley act. - Federal legislation. The Gramm-Leach-Bliley Act (GLBA), which is also known as the Financial Services Modernization Act of 1999, provides limited privacy protections against the sale of your private financial information. Additionally, the GLBA codifies protections against pretexting, the practice of obtaining personal information through false pretenses. ","###Human:\nWhat is GLB in Dell context?\n\n###Asistant:\nGrahamm-Leach-Bliley act. - Federal legislation. The Gramm-Leach-Bliley Act (GLBA), which is also known as the Financial Services Modernization Act of 1999, provides limited privacy protections against the sale of your private financial information. Additionally, the GLBA codifies protections against pretexting, the practice of obtaining personal information through false pretenses. "
GLB,"Global Lease Broker - tool for DFS International under DFSi project.
","###Human:\nWhat is GLB in Dell context?\n\n###Asistant:\nGlobal Lease Broker - tool for DFS International under DFSi project.
"
GLBA,"Gramm-Leach Bliley Act - The Financial Modernization Act of 1999, also known as the ""Gramm-Leach-Bliley Act"" or GLB Act, includes provisions to protect consumers’ personal financial information held by financial institutions. http -//www.ftc.gov/privacy/privacyinitiatives/glbact.html  ","###Human:\nWhat is GLBA in Dell context?\n\n###Asistant:\nGramm-Leach Bliley Act - The Financial Modernization Act of 1999, also known as the ""Gramm-Leach-Bliley Act"" or GLB Act, includes provisions to protect consumers’ personal financial information held by financial institutions. http -//www.ftc.gov/privacy/privacyinitiatives/glbact.html  "
GLD,Global Learning and Development,###Human:\nWhat is GLD in Dell context?\n\n###Asistant:\nGlobal Learning and Development
Glite,"The G.Lite standard (officially, G.992.2) is the informal name of what is expected to be the standard way to install <A href=""http -//ausadpgfrmapp4.us.dell.com/glossary/results.asp?term='ADSL'"">ADSL</A> service. Also known as Universal ADSL.","###Human:\nWhat is Glite in Dell context?\n\n###Asistant:\nThe G.Lite standard (officially, G.992.2) is the informal name of what is expected to be the standard way to install <A href=""http -//ausadpgfrmapp4.us.dell.com/glossary/results.asp?term='ADSL'"">ADSL</A> service. Also known as Universal ADSL."
Global Configuration File,"GCF sends the message from Order PreProcessor (OPP)which has all the software parts listed in its parts dictionary. 
O2 will send Mod/PArt XML to OPP for validation.
OPP will validate the software parts
and construct GCF message and send it to O2.

","###Human:\nWhat is Global Configuration File in Dell context?\n\n###Asistant:\nGCF sends the message from Order PreProcessor (OPP)which has all the software parts listed in its parts dictionary. 
O2 will send Mod/PArt XML to OPP for validation.
OPP will validate the software parts
and construct GCF message and send it to O2.

"
Global Corp IT  ,Human Resources & Corporate Application Development/Support ,###Human:\nWhat is Global Corp IT   in Dell context?\n\n###Asistant:\nHuman Resources & Corporate Application Development/Support 
Global Data IT  ,A segment in Dell IT,###Human:\nWhat is Global Data IT   in Dell context?\n\n###Asistant:\nA segment in Dell IT
Global PG IT  ,Global Product Group IT - A segment in Dell IT.,###Human:\nWhat is Global PG IT   in Dell context?\n\n###Asistant:\nGlobal Product Group IT - A segment in Dell IT.
Global Proposal Tool,See GPTS,###Human:\nWhat is Global Proposal Tool in Dell context?\n\n###Asistant:\nSee GPTS
Globalization,The process of writing or modifying a software application to handle multiple languages for other countries and locales from a common software source code base. (See also Enable and Localization). ,###Human:\nWhat is Globalization in Dell context?\n\n###Asistant:\nThe process of writing or modifying a software application to handle multiple languages for other countries and locales from a common software source code base. (See also Enable and Localization). 
Globalize,"Program/Project classification that is defined by (1) geographic scope (to be rolled out to all regions including global users) or (2) process scope (to be rolled out as a corporate function to manage global data, such as employees or stockholders).","###Human:\nWhat is Globalize in Dell context?\n\n###Asistant:\nProgram/Project classification that is defined by (1) geographic scope (to be rolled out to all regions including global users) or (2) process scope (to be rolled out as a corporate function to manage global data, such as employees or stockholders)."
Globals,Software scripts that enable software downloads from Dell's factory servers.,###Human:\nWhat is Globals in Dell context?\n\n###Asistant:\nSoftware scripts that enable software downloads from Dell's factory servers.
Glossary.,To understand the glossary other than our department,###Human:\nWhat is Glossary. in Dell context?\n\n###Asistant:\nTo understand the glossary other than our department
Glovia,"A configuration management and procurement production system used by internal Dell groups to provide materials-related information to Dell factories and supply chains in the U.S. only. This is deployed for DAO, BCC, and MDS. Supports Config management, procurement, inventory, cost accounting, and accounts payable. 

These will be deployed globally as well in FY04 / 05.","###Human:\nWhat is Glovia in Dell context?\n\n###Asistant:\nA configuration management and procurement production system used by internal Dell groups to provide materials-related information to Dell factories and supply chains in the U.S. only. This is deployed for DAO, BCC, and MDS. Supports Config management, procurement, inventory, cost accounting, and accounts payable. 

These will be deployed globally as well in FY04 / 05."
GLOW,Global Workforce Management,###Human:\nWhat is GLOW in Dell context?\n\n###Asistant:\nGlobal Workforce Management
GLV,"General Limited Value License - A specific type of export license, for use with T and V Country Groups, for shipments of controlled products. There are limitations specified for the value of each order shipped under this type of license, as well as a specified maximum of 12 orders shipped per year for this type of license. These limits are measured per ECCN, per calendar year.","###Human:\nWhat is GLV in Dell context?\n\n###Asistant:\nGeneral Limited Value License - A specific type of export license, for use with T and V Country Groups, for shipments of controlled products. There are limitations specified for the value of each order shipped under this type of license, as well as a specified maximum of 12 orders shipped per year for this type of license. These limits are measured per ECCN, per calendar year."
Glyph ,"The actual shape (bit pattern, outline, etc.) of a character image. For example, an italic 'a' and a roman 'a' are two different glyphs representing the same underlying character. In this usage, ""glyph"" is a synonym for ""character image"" or simply ""image."" ","###Human:\nWhat is Glyph  in Dell context?\n\n###Asistant:\nThe actual shape (bit pattern, outline, etc.) of a character image. For example, an italic 'a' and a roman 'a' are two different glyphs representing the same underlying character. In this usage, ""glyph"" is a synonym for ""character image"" or simply ""image."" "
GM,Gold Master,###Human:\nWhat is GM in Dell context?\n\n###Asistant:\nGold Master
GM,General Manager,###Human:\nWhat is GM in Dell context?\n\n###Asistant:\nGeneral Manager
GM,Gross Margin,###Human:\nWhat is GM in Dell context?\n\n###Asistant:\nGross Margin
GMAP,Global Mobile Activation Platform - Mobile broadband activation portal for activation of wide area wireless internet hardware included in a purchase during checkout. (Think aircard or cell phone activation) ,###Human:\nWhat is GMAP in Dell context?\n\n###Asistant:\nGlobal Mobile Activation Platform - Mobile broadband activation portal for activation of wide area wireless internet hardware included in a purchase during checkout. (Think aircard or cell phone activation) 
GMC,Global Model Consultant,###Human:\nWhat is GMC in Dell context?\n\n###Asistant:\nGlobal Model Consultant
GMCH,"Graphics and Memory Controller Hub (GMCH),Developed and supported by intel. The GMCH provides the processor interface, system memory interface, hub interface, and additional interfaces in an 845G / 845GL chipset desktop platform. Each GMCH contains an integrated graphics controller (IGD). Both the 845G chipset and 845GL chipset use the 82801DB ICH4 for the I/O Controller Hub. ","###Human:\nWhat is GMCH in Dell context?\n\n###Asistant:\nGraphics and Memory Controller Hub (GMCH),Developed and supported by intel. The GMCH provides the processor interface, system memory interface, hub interface, and additional interfaces in an 845G / 845GL chipset desktop platform. Each GMCH contains an integrated graphics controller (IGD). Both the 845G chipset and 845GL chipset use the 82801DB ICH4 for the I/O Controller Hub. "
GMDB,Global Marketing Database,###Human:\nWhat is GMDB in Dell context?\n\n###Asistant:\nGlobal Marketing Database
GMFS,Global Manufacturing and Fulfillment System,###Human:\nWhat is GMFS in Dell context?\n\n###Asistant:\nGlobal Manufacturing and Fulfillment System
GMFSC,"Global Manufacturing, Finance & Supply Chain","###Human:\nWhat is GMFSC in Dell context?\n\n###Asistant:\nGlobal Manufacturing, Finance & Supply Chain"
GMI,Global Messaging Infrastructure,###Human:\nWhat is GMI in Dell context?\n\n###Asistant:\nGlobal Messaging Infrastructure
GMIP,Gross Margin Improvement Program,###Human:\nWhat is GMIP in Dell context?\n\n###Asistant:\nGross Margin Improvement Program
GMIR,Get My Invoice Right,###Human:\nWhat is GMIR in Dell context?\n\n###Asistant:\nGet My Invoice Right
GML,"Genuine Microsoft Label - small labels on the computer, with sign of Windows version","###Human:\nWhat is GML in Dell context?\n\n###Asistant:\nGenuine Microsoft Label - small labels on the computer, with sign of Windows version"
gml,Genune Microsoft License,###Human:\nWhat is gml in Dell context?\n\n###Asistant:\nGenune Microsoft License
GMO,Provides global messaging services within Dell Computer Corporation. As Exchange Administrtors they are responsible for supporting the messaging infrastructure environment and proactively manage the environment in order to provide world class service with prime time availabilty,###Human:\nWhat is GMO in Dell context?\n\n###Asistant:\nProvides global messaging services within Dell Computer Corporation. As Exchange Administrtors they are responsible for supporting the messaging infrastructure environment and proactively manage the environment in order to provide world class service with prime time availabilty
GMOR,"Get My Order Right - process to ensure external customers receive the items on their order they are expecting, e.g. operating system, software, desktop chassis type, notebook weight, monitor type and size, type and length of warranty, payment method, ship to address and any rebate details.","###Human:\nWhat is GMOR in Dell context?\n\n###Asistant:\nGet My Order Right - process to ensure external customers receive the items on their order they are expecting, e.g. operating system, software, desktop chassis type, notebook weight, monitor type and size, type and length of warranty, payment method, ship to address and any rebate details."
GMOS,Generic Material Ordering System,###Human:\nWhat is GMOS in Dell context?\n\n###Asistant:\nGeneric Material Ordering System
GMP,Global Master Planning - Replaced old MRP (Material Requirements Planning) with a more robust i2 SCP engine.,###Human:\nWhat is GMP in Dell context?\n\n###Asistant:\nGlobal Master Planning - Replaced old MRP (Material Requirements Planning) with a more robust i2 SCP engine.
GMSG,Global Manufacturing Systems Group,###Human:\nWhat is GMSG in Dell context?\n\n###Asistant:\nGlobal Manufacturing Systems Group
GMT,Greenwich Mean Time - The time at the prime meridian. ,###Human:\nWhat is GMT in Dell context?\n\n###Asistant:\nGreenwich Mean Time - The time at the prime meridian. 
GMT,Global Marketing Team,###Human:\nWhat is GMT in Dell context?\n\n###Asistant:\nGlobal Marketing Team
GNS,Global Naming Standards,###Human:\nWhat is GNS in Dell context?\n\n###Asistant:\nGlobal Naming Standards
GO,"Order Management System - integrating configuration, pricing and customer information. Currently used in German and Austrian BUs but planned for wider use in EMEA. Developed from baselines of GEDIS 2000 and OMEGA 1 (Hence named GO). ","###Human:\nWhat is GO in Dell context?\n\n###Asistant:\nOrder Management System - integrating configuration, pricing and customer information. Currently used in German and Austrian BUs but planned for wider use in EMEA. Developed from baselines of GEDIS 2000 and OMEGA 1 (Hence named GO). "
GO,"GO is the name of the Order Management system used EMEA-wide. 
The acronym GO is derived from the two main sub-systems Gedis (Sales and Quoting system) and Omega (Oracle Applications based Order Management and Cash Receipting system).

","###Human:\nWhat is GO in Dell context?\n\n###Asistant:\nGO is the name of the Order Management system used EMEA-wide. 
The acronym GO is derived from the two main sub-systems Gedis (Sales and Quoting system) and Omega (Oracle Applications based Order Management and Cash Receipting system).

"
GO,"Global Operations - Dell'supply chain organization including Manufacturing & Supply Chain, Finance, IT, HR, Legal, Facilities, Corporate Communication.","###Human:\nWhat is GO in Dell context?\n\n###Asistant:\nGlobal Operations - Dell'supply chain organization including Manufacturing & Supply Chain, Finance, IT, HR, Legal, Facilities, Corporate Communication."
GO!,Gedis Omega - Replacement Order Entry and AR System in EMEA (Live Oct 2000),###Human:\nWhat is GO! in Dell context?\n\n###Asistant:\nGedis Omega - Replacement Order Entry and AR System in EMEA (Live Oct 2000)
GO!,The new Customer Order Management system for Europe. The G stands for GEDIS (front-end developed within Dell) and O stands for Omega (Oracle Applications back-end). See also GEDIS.,###Human:\nWhat is GO! in Dell context?\n\n###Asistant:\nThe new Customer Order Management system for Europe. The G stands for GEDIS (front-end developed within Dell) and O stands for Omega (Oracle Applications back-end). See also GEDIS.
GOAL,"GOAL (Global Opportunity Approval Live) is an application that provides financial analysts (special pricing approvers) and sales agents with a single global pricing
approval tool, and, therefore, provide improved margin savings and financial controls around the deal
submission and approval process.
","###Human:\nWhat is GOAL in Dell context?\n\n###Asistant:\nGOAL (Global Opportunity Approval Live) is an application that provides financial analysts (special pricing approvers) and sales agents with a single global pricing
approval tool, and, therefore, provide improved margin savings and financial controls around the deal
submission and approval process.
"
Goal ,A specific target for a metric at a particular point in time. Metrics should have goals set for each relevant time period. ,###Human:\nWhat is Goal  in Dell context?\n\n###Asistant:\nA specific target for a metric at a particular point in time. Metrics should have goals set for each relevant time period. 
GOE,Global Operations Engineer,###Human:\nWhat is GOE in Dell context?\n\n###Asistant:\nGlobal Operations Engineer
Gold,"Revenue generating support offering from Dell
","###Human:\nWhat is Gold in Dell context?\n\n###Asistant:\nRevenue generating support offering from Dell
"
GOLD,Global Operations Line Design,###Human:\nWhat is GOLD in Dell context?\n\n###Asistant:\nGlobal Operations Line Design
Gold Code,"Software code which has sucessfully completed all testing and development and is ready to distribute to software replicator for production. 
","###Human:\nWhat is Gold Code in Dell context?\n\n###Asistant:\nSoftware code which has sucessfully completed all testing and development and is ready to distribute to software replicator for production. 
"
Gold Code (or Golden Code),1. Software product deemed ready to ship to customers. It has been tested and has met the criteria to be released. 2. Software code which has sucessfully completed all testing and development and is ready to distribute to software replicator for production. ,###Human:\nWhat is Gold Code (or Golden Code) in Dell context?\n\n###Asistant:\n1. Software product deemed ready to ship to customers. It has been tested and has met the criteria to be released. 2. Software code which has sucessfully completed all testing and development and is ready to distribute to software replicator for production. 
Gold Master,"Physical software deliverable (ie. CD, Diskette, CDR) which contains gold code.","###Human:\nWhat is Gold Master in Dell context?\n\n###Asistant:\nPhysical software deliverable (ie. CD, Diskette, CDR) which contains gold code."
Gold Premium SKUs,"Initial year and 2-year extensions provide 3 years of coverage, Gold Queue ""Engineer to Engineer"" Support, Gold Technical Account MAnager (TAM) team, seamless support, and tied to a specific service tag.","###Human:\nWhat is Gold Premium SKUs in Dell context?\n\n###Asistant:\nInitial year and 2-year extensions provide 3 years of coverage, Gold Queue ""Engineer to Engineer"" Support, Gold Technical Account MAnager (TAM) team, seamless support, and tied to a specific service tag."
